Time,U,M,extra,box,A1_neg,A2_neg,A3_neg,A4_neg,A5_neg,A6_neg,A7_neg,A8_neg,A9_neg,A10_neg,A11_neg,A12_neg,B1_neg,B2_posctrl,B3_posctrl,B4_neg,B5_neg,B6_neg,B7_neg,B8_neg,B9_neg,B10_neg,B11_neg,B12_neg,C1_neg,C2_neg,C3_neg,C4_neg,C5_neg,C6_neg,C7_neg,C8_neg,C9_neg,C10_neg,C11_neg,C12_neg,D1_neg,D2_neg,D3_neg,D4_neg,D5_neg,D6_neg,D7_neg,D8_neg,D9_neg,D10_neg,D11_posctrl,D12_neg,E1_pos20,E2_pos20,E3_pos20,E4_pos20,E5_pos20,E6_pos20,E7_pos20,E8_pos20,E9_pos20,E10_pos20,E11_pos20,E12_pos20,F1_pos26,F2_pos26,F3_pos26,F4_pos26,F5_pos26,F6_pos26,F7_neg,F8_neg,F9_neg,F10_neg,F11_neg,F12_neg,G1_pos21_8,G2_pos21_8,G3_pos21_8,G4_pos21_8,G5_pos21_8,G6_pos21_8,G7_pos21,G8_pos21,G9_pos21,G10_pos21,G11_pos21,G12_pos21,H1_pos23,H2_pos23,H3_pos23,H4_pos23,H5_pos23,H6_pos23,H7_posctrl,H8_posctrl28,H9_posctrl,H10_water,H11_water,H12_water,
2020-11-20T14:12:01,62.10,66.00,66.00,49.81,695,763,701,506,209,637,842,691,581,707,800,1023,949,379,518,197,277,518,460,862,412,651,616,1023,749,872,492,395,342,97,340,491,291,460,574,848,870,507,483,342,154,256,432,277,264,323,517,1023,576,304,524,256,128,78,490,334,562,414,659,1023,671,683,416,334,216,180,301,375,408,347,1023,1023,1023,922,564,400,290,465,220,348,374,615,931,1023,1023,1023,806,706,749,997,361,482,595,760,723,1023,
2020-11-20T14:13:02,62.28,64.98,58.42,49.55,1019,742,706,508,203,618,793,656,565,708,804,1023,962,695,518,196,270,482,401,801,379,647,627,1023,755,883,500,399,340,64,292,406,268,461,588,863,870,519,498,354,175,230,381,264,250,317,518,1023,589,319,540,284,140,67,496,340,554,392,664,1023,682,706,437,358,224,172,307,381,406,343,1023,1023,1023,933,577,407,289,463,214,345,378,630,941,1023,1023,1023,824,710,749,987,357,473,578,767,726,1023,
2020-11-20T14:14:03,63.80,64.39,60.30,49.55,1022,718,709,503,200,610,784,650,566,708,805,1023,966,693,513,190,267,468,390,778,370,635,627,1023,753,884,502,400,338,59,287,399,268,461,589,855,852,519,504,359,177,228,377,260,246,315,505,1023,574,323,554,304,140,70,494,342,552,390,659,1023,671,712,451,365,224,168,303,378,408,340,1023,1023,1023,925,584,408,284,458,203,343,374,637,929,1023,1023,1023,824,704,738,962,349,460,570,765,724,1023,
2020-11-20T14:15:04,65.39,64.58,60.47,49.68,1022,690,712,499,188,594,769,646,559,700,794,1023,972,695,509,188,264,452,391,758,363,617,609,1023,754,878,495,398,330,56,279,393,266,460,586,856,855,518,504,358,179,224,369,242,242,308,494,1023,576,322,557,307,137,67,491,343,552,394,659,1023,674,716,455,369,223,163,295,375,402,337,1023,1023,1023,917,585,403,277,446,194,339,368,628,925,1023,1023,1023,831,707,734,945,346,455,562,760,718,1023,
2020-11-20T14:16:05,65.39,64.98,60.65,49.68,1023,671,715,502,190,578,768,646,561,700,791,1023,975,693,502,188,264,436,389,746,360,613,607,1023,755,880,497,397,328,54,277,401,266,459,586,857,854,518,503,359,182,223,365,240,242,312,489,1023,575,325,558,313,134,63,487,345,553,395,661,1023,672,717,458,366,223,157,296,378,405,336,1023,1023,1023,916,587,408,275,437,190,338,367,631,924,1023,1023,1023,836,707,734,924,343,450,565,762,720,1023,
2020-11-20T14:17:06,65.39,65.18,60.83,49.81,1023,655,721,505,192,569,772,648,563,702,790,1023,977,692,499,188,263,427,390,740,359,611,609,1023,759,883,499,398,330,51,279,402,270,462,588,857,856,517,502,361,184,214,368,242,246,318,489,1023,579,328,561,321,135,59,490,349,556,399,660,1023,671,719,463,367,225,152,299,380,408,335,1023,1023,1023,917,589,411,274,435,188,340,367,636,920,1023,1023,1023,843,710,734,909,344,445,567,764,721,1023,
2020-11-20T14:18:07,65.39,65.18,60.83,49.81,1023,640,723,507,191,573,772,652,562,705,790,1023,981,694,497,192,265,427,394,735,358,601,611,1023,759,885,500,401,330,51,281,404,270,456,591,862,861,519,505,367,188,212,374,236,249,317,484,1023,579,329,563,325,137,63,494,355,560,403,665,1023,670,724,465,371,225,154,297,383,409,338,1023,1023,1023,914,590,409,274,434,187,343,369,641,923,1023,1023,1023,849,716,736,901,344,443,568,772,718,1023,
2020-11-20T14:19:08,65.39,65.18,61.01,49.95,1023,629,729,509,194,574,777,653,562,708,787,1023,986,694,497,194,268,428,397,731,360,596,610,1023,764,886,503,400,332,52,281,407,272,451,575,861,867,519,507,370,193,216,379,238,254,318,477,1023,580,331,569,330,139,65,498,360,567,403,652,1023,671,727,470,374,229,157,299,387,414,341,1023,1023,1023,912,591,410,274,435,187,342,372,643,924,1023,1023,1023,856,720,742,892,348,439,569,776,720,1023,
2020-11-20T14:20:09,65.39,65.18,61.01,49.95,1023,615,728,511,195,579,780,656,565,708,789,1023,971,689,494,195,269,428,397,725,359,590,609,1023,759,889,505,405,335,55,289,408,274,452,574,862,867,521,509,374,198,218,374,226,252,321,473,1023,586,337,572,339,144,70,491,351,565,406,650,1023,673,734,473,378,230,159,297,384,416,342,1023,1023,1023,912,598,413,276,438,186,348,375,651,927,1023,1023,1023,865,726,746,886,349,435,570,779,722,1023,
2020-11-20T14:21:10,65.39,65.39,60.83,49.95,1023,608,732,515,197,583,785,660,569,713,790,1023,977,689,494,197,271,428,400,721,360,587,612,1023,762,893,508,408,339,56,293,409,276,454,576,865,873,521,513,377,202,220,376,224,255,323,471,1023,586,338,576,344,148,71,492,349,567,408,651,1023,670,737,476,381,233,160,299,383,418,344,1023,1023,1023,911,598,414,276,439,186,349,376,654,926,1023,1023,1023,869,730,749,882,352,432,571,783,721,1023,
